text,category,urgency
Пользователь не может войти в учетную запись из-за сброса пароля,Сбой приложения,Низкий
Отказ жесткого диска на файловом сервере,Аппаратный сбой,Высокий
Обнаружен криптолокер на рабочей станции бухгалтерии,Нарушение безопасности,Высокий
Зависла система электронного документооборота,Сбой приложения,Средний
Пропал интернет в одном из удаленных офисов,Потеря связи,Средний
Замедлена работа CRM-системы в часы пик,Ухудшение сервиса,Средний
Сбой в работе системы резервного копирования,Сбой приложения,Высокий
Перегрев и автоматическое отключение сервера виртуализации,Аппаратный сбой,Высокий
Не печатает сетевой принтер в общем отделе,Сбой приложения,Низкий
Обрыв магистрального интернет-канала провайдера,Потеря связи,Высокий
DDoS-атака на веб-портал компании,Нарушение безопасности,Высокий
Потеря пакетов данных в беспроводной сети,Ухудшение сервиса,Низкий
Сбой в работе IP-телефонии,Сбой приложения,Средний
Выход из строя блока питания маршрутизатора,Аппаратный сбой,Средний
Утечка данных клиентов через уязвимость в веб-форме,Нарушение безопасности,Высокий
Не обновляется антивирусное ПО на 30% рабочих станций,Ухудшение сервиса,Средний
Полный отказ системы электронной почты,Сбой приложения,Высокий
Замыкание в коммутаторе этажа,Аппаратный сбой,Средний
Не работает система видеонаблюдения на проходной,Сбой приложения,Средний
Фишинговая рассылка по корпоративной почте,Нарушение безопасности,Средний
Высокая загрузка ЦП на основном сервере БД,Ухудшение сервиса,Высокий
Несанкционированное изменение конфигурации межсетевого экрана,Нарушение безопасности,Высокий
Отказ системы контроля доступа (СКУД),Сбой приложения,Средний
Потеря связи с облачным хранилищем,Потеря связи,Средний
Зависание компьютера кассира при проведении платежа,Сбой приложения,Высокий
Выход из строя системы охлаждения в серверной,Аппаратный сбой,Высокий
Утерян корпоративный мобильный телефон с почтой,Нарушение безопасности,Средний
Медленная загрузка страниц интранет-портала,Ухудшение сервиса,Низкий
Сбой в работе службы каталогов (Active Directory),Сбой приложения,Высокий
Физическое повреждение кабеля ЛВС в коридоре,Аппаратный сбой,Низкий
Не работает кнопка "Заказать звонок" на сайте,Сбой приложения,Низкий
Обнаружено шпионское ПО на ПК менеджера по продажам,Нарушение безопасности,Средний
Перегружен канал связи с филиалом,Ухудшение сервиса,Средний
Сбой в работе системы складского учета,Сбой приложения,Высокий
Отказ дискового массива (RAID),Аппаратный сбой,Высокий
Подозрительная сетевая активность с рабочей станции,Нарушение безопасности,Высокий
Не отправляются автоматические E-mail уведомления,Сбой приложения,Средний
Не работает факсимильная связь,Сбой приложения,Низкий
Скачок напряжения повредил ИБП,Аппаратный сбой,Средний
Утечка паролей сотрудников в открытый доступ,Нарушение безопасности,Высокий
Задержки в отображении реальных данных в отчетной системе,Ухудшение сервиса,Средний
Не работает система онлайн-записи на прием,Сбой приложения,Средний
Поломка проектора в переговорной комнате,Аппаратный сбой,Низкий
Блокировка учетных записей пользователей из-за подбора паролей,Нарушение безопасности,Средний
Периодические разрывы VPN-соединения для удаленных работников,Потеря связи,Средний
Сбой в работе системы управления проектами,Сбой приложения,Низкий
Заполнено дисковое пространство на почтовом сервере,Ухудшение сервиса,Высокий
Выход из строя кассового аппарата интегрированного с системой,Аппаратный сбой,Высокий
Несанкционированная установка ПО на сервер,Нарушение безопасности,Высокий
Не обновляется контент на главной странице сайта,Сбой приложения,Низкий
Отказ системы аварийного питания,Аппаратный сбой,Высокий
Перехват трафика в публичной Wi-Fi сети офиса,Нарушение безопасности,Средний
Сильная фрагментация базы данных ведущая к торможениям,Ухудшение сервиса,Средний
Не работает мобильное приложение для сотрудников,Сбой приложения,Средний
Обрыв оптоволоконной линии связи,Потеря связи,Высокий
Сбой в работе системы бухгалтерского учета,Сбой приложения,Высокий
Перегрев и троттлинг процессоров на сервере,Аппаратный сбой,Высокий
Компрометация учетной записи привилегированного пользователя,Нарушение безопасности,Высокий
Не работает голосовой помощник на сайте,Сбой приложения,Низкий
Высокий пинг в играх на корпоративной сети (мешает работе),Ухудшение сервиса,Низкий
Сбой в работе системы проведения вебинаров,Сбой приложения,Средний
Выход из строя точки доступа Wi-Fi в холле,Аппаратный сбой,Низкий
Рекламное ПО (adware) в браузерах сотрудников,Нарушение безопасности,Низкий
Потеря сетевого соединения с системой видеоконференцсвязи,Потеря связи,Средний
Ошибка 500 на корпоративном портале при загрузке документа,Сбой приложения,Средний
Отказ вентилятора в сервере,Аппаратный сбой,Средний
Поддельный корпоративный сайт (фейк),Нарушение безопасности,Высокий
Несинхронизированность времени на серверах,Ухудшение сервиса,Средний
Не работает калькулятор на сайте,Сбой приложения,Низкий
Затопление серверной комнаты из-за протечки кондиционера,Аппаратный сбой,Высокий
Неавторизованный доступ к облачной БД из-за утечки ключей,Нарушение безопасности,Высокий
Очень медленная работа с удаленным рабочим столом,Ухудшение сервиса,Средний
Сбой в работе чат-бота технической поддержки,Сбой приложения,Низкий
Поломка коммутатора в цехе производства,Аппаратный сбой,Высокий
Атака типа "человек посередине" (MitM) в локальной сети,Нарушение безопасности,Высокий
Не загружаются графические элементы в веб-приложении,Ухудшение сервиса,Низкий
Сбой в системе управления персоналом (не работает расчет зарплат),Сбой приложения,Высокий
Выход из строя СХД (системы хранения данных),Аппаратный сбой,Высокий
Заражение майнером на сервере разработки,Нарушение безопасности,Средний
Пропажа голоса в IP-телефонии,Ухудшение сервиса,Средний
Не работает форма обратной связи на лендинге,Сбой приложения,Низкий
Скачок напряжения приведший к потере данных на нескольких ПК,Аппаратный сбой,Средний
Социальная инженерия: сотрудник передал логин и пароль злоумышленнику,Нарушение безопасности,Высокий
Задержки в получении push-уведомлений,Ухудшение сервиса,Низкий
Сбой в работе системы тестирования ПО,Сбой приложения,Низкий
Отказ контроллера домена,Сбой приложения,Высокий
Кража ноутбука из переговорной комнаты,Нарушение безопасности,Высокий
Высокая сетевая задержка (latency) при работе с RDP,Ухудшение сервиса,Средний
Не работает система SMS-информирования клиентов,Сбой приложения,Средний
Поломка системы пожаротушения в ЦОД,Аппаратный сбой,Высокий
SQL-инъекция в корпоративном веб-приложении,Нарушение безопасности,Высокий
"Синий экран" на нескольких однотипных рабочих станциях,Аппаратный сбой,Средний
Не обновляется программное обеспечение на терминалах,Ухудшение сервиса,Средний
Сбой в работе геолокационного сервиса для курьеров,Сбой приложения,Высокий
Отключение электричества в дата-центре,Аппаратный сбой,Высокий
Несанкционированное изменение DNS-записей,Нарушение безопасности,Высокий
Частые разрывы соединения с облачным хостингом,Потеря связи,Средний
Не работает интеграция между CRM и телефонией,Сбой приложения,Высокий
Выход из строя модема для резервного канала связи,Аппаратный сбой,Средний
Утечка внутренних переписок сотрудников в сеть,Нарушение безопасности,Высокий
Конечно, вот ещё 100 инцидентов в формате CSV.
Не работает кнопка "Поделиться" в корпоративном блоге,Сбой приложения,Низкий
Отказ системы охлаждения процессора на сервере БД,Аппаратный сбой,Высокий
Проникновение в сеть через уязвимость в веб-интерфейсе принтера,Нарушение безопасности,Средний
Ошибка округления в финансовом отчете,Сбой приложения,Средний
Дрожание изображения на мониторах при работе сети,Ухудшение сервиса,Низкий
Сбой модуля расчета заработной платы,Сбой приложения,Высокий
Разряд статического электричества повредивший материнскую плату,Аппаратный сбой,Средний
Утечка данных о переговорах из-за подслушивающего устройства,Нарушение безопасности,Высокий
Задержка синхронизации данных между кэшем и основной БД,Ухудшение сервиса,Средний
Не работает система напоминания о встречах в календаре,Сбой приложения,Низкий
Обрыв оптоволокна из-за строительных работ,Потеря связи,Высокий
Сбой в системе управления лабораторным оборудованием,Сбой приложения,Высокий
Выход из строя системы рециркуляции воздуха в серверной,Аппаратный сбой,Средний
Компрометация сессионных куков на корпоративном портале,Нарушение безопасности,Высокий
Медленная работа графического редактора на мощных рабочих станциях,Ухудшение сервиса,Низкий
Не работает автозаполнение форм в CRM,Сбой приложения,Низкий
Короткое замыкание в патч-панели,Аппаратный сбой,Средний
Рассылка спама с корпоративных почтовых ящиков,Нарушение безопасности,Средний
Высокий уровень джиттера в голосовой связи,Ухудшение сервиса,Средний
Сбой в работе системы управления аттестациями,Сбой приложения,Средний
Отказ датчика температуры в серверной стойке,Аппаратный сбой,Средний
Поддельные аккаунты в корпоративной системе обмена сообщениями,Нарушение безопасности,Низкий
Не обновляется интерактивная карта на сайте,Сбой приложения,Низкий
Потеря связи с удаленным объектом из-за сбоя спутниковой связи,Потеря связи,Средний
Сбой в системе управления испытаниями,Сбой приложения,Высокий
Выход из строя платы расширения на сервере,Аппаратный сбой,Средний
Атака на систему управления умным зданием (отопление свет),Нарушение безопасности,Средний
Долгая буферизация видео в корпоративной системе обучения,Ухудшение сервиса,Низкий
Не работает система голосования на внутреннем портале,Сбой приложения,Низкий
Перегрузка стабилизатора напряжения,Аппаратный сбой,Средний
Утечка метаданных из документов отправляемых клиентам,Нарушение безопасности,Средний
Не работает система управления сертификатами,Сбой приложения,Средний
Случайное изменение маршрутов в сетевой конфигурации,Ухудшение сервиса,Высокий
Не загружаются шрифты в корпоративном редакторе,Сбой приложения,Низкий
Выход из строя системы контроля протечки воды в ЦОД,Аппаратный сбой,Высокий
Обнаружение нелицензионного ПО на сервере,Нарушение безопасности,Средний
Зависание системы при одновременной работе большого числа пользователей,Ухудшение сервиса,Высокий
Не работает система учета инвентаря,Сбой приложения,Средний
Отказ резервного генератора при тестировании,Аппаратный сбой,Высокий
Фишинговая атака направленная на отдел разработки,Нарушение безопасности,Высокий
Не работает система преобразования текста в речь,Сбой приложения,Низкий
Потеря пакетов при передаче данных в реальном времени,Ухудшение сервиса,Средний
Сбой в системе управления проектной документацией,Сбой приложения,Высокий
Выход из строя модема резервного 4G соединения,Аппаратный сбой,Средний
Несанкционированное изменение конфигурации виртуальной машины,Нарушение безопасности,Средний
Не обновляется статус задач в системе управления проектами,Ухудшение сервиса,Низкий
Не работает система проверки на плагиат,Сбой приложения,Низкий
Перехват беспроводного сигнала клавиатуры,Нарушение безопасности,Средний
Задержка в получении данных с датчиков IoT,Ухудшение сервиса,Средний
Сбой в работе системы управления арендой,Сбой приложения,Средний
Выход из строя системы звукового оповещения,Аппаратный сбой,Средний
Утечка логики бизнес-процессов через публичный репозиторий,Нарушение безопасности,Высокий
Не работает система управления отзывами клиентов,Сбой приложения,Низкий
Зависание компьютера при подключении к VPN,Ухудшение сервиса,Средний
Сбой в системе управления логистикой,Сбой приложения,Высокий
Отказ системы мониторинга потребления энергии,Аппаратный сбой,Низкий
Атака типа "сайт-двойник" на сервис авторизации,Нарушение безопасности,Высокий
Не работает система расчета рейтингов сотрудников,Сбой приложения,Средний
Потеря связи с системой управления складскими роботами,Потеря связи,Высокий
Сбой в работе системы управления франшизой,Сбой приложения,Высокий
Выход из строя ИБП для системы хранения данных,Аппаратный сбой,Высокий
Утечка данных о внутренних тестах продукта,Нарушение безопасности,Средний
Не работает система управления корпоративными событиями,Сбой приложения,Низкий
Задержка в обновлении информации на табло в офисе,Ухудшение сервиса,Низкий
Сбой в системе управления политиками доступа,Сбой приложения,Высокий
Выход из строя системы очистки воздуха от пыли в серверной,Аппаратный сбой,Средний
Обнаружение бэкдора в прошивке сетевого устройства,Нарушение безопасности,Высокий
Не работает система управления корпоративными стандартами,Сбой приложения,Низкий
Случайное удаление раздела на файловом сервере,Ухудшение сервиса,Высокий
Не загружаются превью документов в системе,Сбой приложения,Низкий
Отказ системы резервного копирования на ленточную библиотеку,Аппаратный сбой,Средний
Компрометация корпоративного аккаунта в LinkedIn,Нарушение безопасности,Средний
Не работает система управления идеями сотрудников,Сбой приложения,Низкий
Потеря связи с системой управления цифровыми вывесками,Потеря связи,Средний
Сбой в системе управления безопасностью полетов (для авиакомпании),Сбой приложения,Высокий
Выход из строя системы вакуумного охлаждения,Аппаратный сбой,Высокий
Утечка данных о стратегических планах компании,Нарушение безопасности,Высокий
Не работает система управления корпоративной социальной сетью,Сбой приложения,Низкий
Зависание системы при обработке больших файлов,Ухудшение сервиса,Средний
Сбой в системе управления дистрибьюторской сетью,Сбой приложения,Высокий
Отказ системы контроля уровня шума в дата-центре,Аппаратный сбой,Низкий
Атака на систему управления медицинскими данными,Нарушение безопасности,Высокий
Не работает система расчета отпускных дней,Сбой приложения,Средний
Потеря связи с системой управления транспортными средствами,Потеря связи,Высокий
Сбой в системе управления выставочными стендами,Сбой приложения,Средний
Выход из строя системы жидкостного охлаждения,Аппаратный сбой,Высокий
Несанкционированный доступ к системе управления корпоративными праздниками,Нарушение безопасности,Низкий
Не работает система управления библиотекой,Сбой приложения,Низкий
Задержка в передаче данных между модулями ERP-системы,Ухудшение сервиса,Высокий
Сбой в системе управления рекламными площадями,Сбой приложения,Средний
Выход из строя системы контроля доступа по отпечатку пальца,Аппаратный сбой,Средний
Утечка данных о производительности сотрудников,Нарушение безопасности,Средний
Не работает система управления стейкхолдерами,Сбой приложения,Низкий
Случайное шифрование файлов легитимной программой,Ухудшение сервиса,Средний
Не загружаются иконки в интерфейсе заказного ПО,Сбой приложения,Низкий
Отказ системы мониторинга температуры процессоров,Аппаратный сбой,Средний
Фишинг с использованием глубокой подделки голоса (deepfake),Нарушение безопасности,Высокий
Не работает система управления инновациями,Сбой приложения,Низкий
Потеря связи с системой управления качеством воды (для ЖКХ),Потеря связи,Высокий
Сбой в системе управления телеком-оборудованием,Сбой приложения,Высокий
Выход из строя системы аварийного отключения питания,Аппаратный сбой,Высокий
Утечка данных о клиентах через мобильное приложение,Нарушение безопасности,Высокий
Не работает система управления корпоративной этикой,Сбой приложения,Низкий
Зависание системы при одновременном доступе к одному документу,Ухудшение сервиса,Средний
Не работает сканер на рабочем месте секретаря,Сбой приложения,Низкий
Полный отказ коммутатора ядра сети,Аппаратный сбой,Высокий
Обнаружен ботнет управляющий группой рабочих станций,Нарушение безопасности,Высокий
Ошибка синхронизации данных между головным офисом и филиалом,Сбой приложения,Средний
Постоянные помехи в голосовой связи через VoIP,Ухудшение сервиса,Средний
Сбой в системе управления заказами клиенты не могут оформить заказ,Сбой приложения,Высокий
Выход из строя системы вентиляции в серверной стойке,Аппаратный сбой,Высокий
Утечка данных платежных карт клиентов через взломанную базу данных,Нарушение безопасности,Высокий
Задержка в обработке транзакций в банковской системе,Ухудшение сервиса,Высокий
Не работает система электронной очереди в клиентском отделе,Сбой приложения,Средний
Физический обрыв кабеля между зданиями,Потеря связи,Средний
Сбой в работе системы резервирования номеров в отеле,Сбой приложения,Высокий
Отказ блока питания в файловом сервере,Аппаратный сбой,Средний
Рекламный баннер на внутреннем портале перенаправляет на фишинговый сайт,Нарушение безопасности,Средний
Зависание системы при попытке сформировать сложный отчет,Ухудшение сервиса,Низкий
Не работает автодозвон в колл-центре,Сбой приложения,Средний
Затопление дата-центра из-за прорыва водопровода,Аппаратный сбой,Высокий
Компрометация SSH-ключа для доступа к критическим серверам,Нарушение безопасности,Высокий
Высокая нагрузка на канал связи из-за несанкционированного скачивания,Ухудшение сервиса,Средний
Не обновляется интерфейс управления виртуальными машинами,Сбой приложения,Средний
Потеря связи с удаленным складом из-за грозы,Потеря связи,Средний
Сбой в работе системы контроля версий (Git),Сбой приложения,Средний
Выход из строя кластера серверов обеспечивающего отказоустойчивость,Аппаратный сбой,Высокий
Атака вымогателя (ransomware) на базу данных 1С,Нарушение безопасности,Высокий
Долгая загрузка профилей пользователей при входе в систему,Ухудшение сервиса,Низкий
Не работает API для интеграции с партнерским сервисом,Сбой приложения,Высокий
Перегрев и отказ коммутатора в торговом зале,Аппаратный сбой,Средний
Поддельное письмо от имени директора с просьбой перевести деньги,Нарушение безопасности,Высокий
Потеря пакетов в сети при передаче голоса,Ухудшение сервиса,Средний
Сбой в работе системы мониторинга,Сбой приложения,Средний
Отказ системы бесперебойного питания (ИБП) при переключении,Аппаратный сбой,Высокий
Несанкционированный доступ к системе видеонаблюдения,Нарушение безопасности,Высокий
"Падение" производительности веб-сервера под нагрузкой,Ухудшение сервиса,Высокий
Не работает функция поиска на корпоративном портале,Сбой приложения,Низкий
Обрыв магистрального канала связи с облачным провайдером,Потеря связи,Высокий
Сбой в работе системы управления контентом (CMS) сайта,Сбой приложения,Средний
Выход из строя нескольких дисков в системе хранения данных одновременно,Аппаратный сбой,Высокий
Утечка логинов и парлей от Wi-Fi сети компании,Нарушение безопасности,Средний
Очень медленная работа с сетевыми папками,Ухудшение сервиса,Средний
Не отправляются смс-коды для двухфакторной аутентификации,Сбой приложения,Высокий
Поломка кондиционера в серверной комнате,Аппаратный сбой,Высокий
Взлом аккаунта в социальной сети компании,Нарушение безопасности,Средний
Задержка в доставке корпоративной почты,Ухудшение сервиса,Средний
Не работает система управления цифровыми подписями,Сбой приложения,Средний
Отказ маршрутизатора периметра сети,Аппаратный сбой,Высокий
Обнаружена уязвимость нулевого дня в используемом ПО,Нарушение безопасности,Высокий
Нестабильная работа удаленного рабочего стла (RDP) для бухгалтерии,Ухудшение сервиса,Средний
Сбой в работе системы планирования задач (Jira Asana),Сбой приложения,Средний
Короткое замыкание в розетке приведшее к отключению ПК,Аппаратный сбой,Низкий
Кража физического сервера из дата-центра,Нарушение безопасности,Высокий
Частые разрывы SSL-соединения с сайтом,Ухудшение сервиса,Средний
Не работает система онлайн-оплаты на сайте,Сбой приложения,Высокий
Выход из строя ленточного накопителя для резервных копий,Аппаратный сбой,Средний
DDoS-атака на DNS-серверы компании,Нарушение безопасности,Высокий
Долгое время отклика базы данных при выполнении запросов,Ухудшение сервиса,Высокий
Не работает виджет онлайн-консультанта на сайте,Сбой приложения,Низкий
Потеря связи с удаленными датчиками системы мониторинга,Потеря связи,Средний
Сбой в работе системы управления обучением (LMS),Сбой приложения,Средний
Выход из строя матричного коммутатора KVM,Аппаратный сбой,Средний
Утечка внутренней документации через бывшего сотрудника,Нарушение безопасности,Высокий
Не загружаются обновления ОС на рабочие станции,Ухудшение сервиса,Средний
Не работает система автоматического биллинга для клиентов,Сбой приложения,Высокий
Перегрузка электрической сети в серверной,Аппаратный сбой,Высокий
Поддельные SSL-сертификаты на корпоративных сайтах,Нарушение безопасности,Высокий
Случайное удаление критических данных пользователем,Ухудшение сервиса,Средний
Не работает система управления паролями,Сбой приложения,Средний
Отказ порта на сетевом коммутаторе,Аппаратный сбой,Низкий
Несанкционированное изменение записей в DNS,Нарушение безопасности,Высокий
Зависание системы при печати сложного графика или чертежа,Ухудшение сервиса,Низкий
Сбой в работе системы анализа логов,Сбой приложения,Низкий
Потеря мощности в системе охлаждения ЦОД,Аппаратный сбой,Высокий
Атака на систему умного дома в офисе,Нарушение безопасности,Низкий
Не работает система распознавания номеров на парковке,Сбой приложения,Низкий
Обрыв кабеля под землей из-за земляных работ,Потеря связи,Высокий
Сбой в работе системы управления цепочками поставок (SCM),Сбой приложения,Высокий
Выход из строя контроллера домена (отказ второго),Аппаратный сбой,Высокий
Заражение руткитом на критическом сервере,Нарушение безопасности,Высокий
Не обновляется инвентаризация в системе учета,Ухудшение сервиса,Средний
Не работает калькулятор доставки в интернет-магазине,Сбой приложения,Средний
Поломка сканера штрих-кодов на складе,Аппаратный сбой,Средний
Утечка данных о переговорах с партнерами,Нарушение безопасности,Высокий
Очень медленная работа системы в первый рабочий день месяца,Ухудшение сервиса,Высокий
Не работает система оповещения о критических инцидентах,Сбой приложения,Высокий
Отказ системы генерации отчетов в BI-системе,Сбой приложения,Средний
Выход из строя панели управления виртуальной инфраструктурой,Аппаратный сбой,Высокий
Несанкционированный доступ к логам сервера,Нарушение безопасности,Средний
Потеря связи с серверами в другом регионе,Потеря связи,Средний
Сбой в работе системы управления репутацией,Сбой приложения,Низкий
Перегрев и отказ графических карт на сервере рендеринга,Аппаратный сбой,Высокий
Фишинговая атака на отдел кадров с запросом персональных данных,Нарушение безопасности,Средний
Не работает система проверки орфографии в почтовом клиенте,Сбой приложения,Низкий
Задержка в отображении курсов валют в финансовой системе,Ухудшение сервиса,Средний
Сбой в работе системы управления аккаунтами (IAM),Сбой приложения,Высокий
Выход из строя системы контроля физического доступа в ЦОД,Аппаратный сбой,Высокий
Обнаружено вредоносное ПО шифрующее файлы на сетевом хранилище,Нарушение безопасности,Высокий
Нестабильная работа мобильного приложения для заказа такси,Ухудшение сервиса,Высокий
Не работает система онлайн-бронирования столиков в ресторане,Сбой приложения,Средний
Отказ системы аварийной сигнализации в серверной,Аппаратный сбой,Высокий
Утечка данных тестовой среды содержащей реальные данные,Нарушение безопасности,Средний
Не работает система управления рекламными кампаниями,Сбой приложения,Высокий
Потеря связи с платежным шлюзом,Потеря связи,Высокий
Сбой в работе системы управления инцидентами,Сбой приложения,Высокий
Выход из строя системы газового пожаротушения в дата-центре,Аппаратный сбой,Высокий
Атака на систему управления технологическим процессом (ICS/SCADA),Нарушение безопасности,Высокий
Не работает система учета рабочего времени,Сбой приложения,Средний
Зависание компьютера при подключении к проектору,Аппаратный сбой,Низкий
Утечка пароля от Wi-Fi для гостей,Нарушение безопасности,Низкий
Не загружаются скрипты на странице личного кабинета,Ухудшение сервиса,Средний
Сбой в работе системы управления знаниями (база знаний),Сбой приложения,Низкий
Не работает виджет "Погода" на внутреннем портале,Сбой приложения,Низкий
Отказ системы статического подавления пыли в серверной,Аппаратный сбой,Низкий
Перехват трафика мобильного приложения через поддельную точку доступа,Нарушение безопасности,Высокий
Ошибка в алгоритме рекомендаций товаров,Сбой приложения,Средний
Дрожание курсора мыши на некоторых рабочих станциях,Ухудшение сервиса,Низкий
Сбой модуля управления лимитами расходов,Сбой приложения,Средний
Разрушение панели аккумуляторов в ИБП,Аппаратный сбой,Высокий
Утечка переписки руководства через взлом мессенджера,Нарушение безопасности,Высокий
Рассинхронизация времени между серверами и сетевым оборудованием,Ухудшение сервиса,Средний
Не работает система учета рабочего времени по проектам,Сбой приложения,Средний
Обрыв медного кабеля из-за коррозии,Потеря связи,Средний
Сбой в системе управления роботизированным складом,Сбой приложения,Высокий
