text,category,urgency
Отсутствие обновлений о дорожных заторах в логистике,Сбой приложения,Низкий
Разрыв связи с платформами для полива в агросекторе,Потеря связи,Высокий
Сбой в платформе для контроля лифтов,Сбой приложения,Средний
Поломка контроллера в системе бесперебойного энергоснабжения,Аппаратный сбой,Высокий
Кибератака на платформу для уличных камер видеонаблюдения,Нарушение безопасности,Средний
Медленная загрузка панорамных видео в виртуальных экскурсиях,Ухудшение сервиса,Низкий
Отказ в платформе для сбора идей по оптимизации процессов,Сбой приложения,Низкий
Перегрев кабелей сети из-за неправильной прокладки,Аппаратный сбой,Низкий
Утечка информации о патентах через взломанную систему документооборота,Нарушение безопасности,Высокий
Отказ в платформе для работы с метаданными,Сбой приложения,Низкий
Непреднамеренное внедрение неверных политик в Active Directory,Ухудшение сервиса,Высокий
Проблемы с загрузкой пользовательских дизайнов интерфейса,Сбой приложения,Низкий
Поломка системы мониторинга электромагнитных интерференций,Аппаратный сбой,Низкий
Выявление майнингового скрипта на сервере сайта,Нарушение безопасности,Средний
Зависание при выполнении сложных математических операций,Ухудшение сервиса,Средний
Отказ в платформе для контроля сертификатов качества,Сбой приложения,Средний
Сбой в тестовой системе тревожной сигнализации с ложным активацией,Аппаратный сбой,Низкий
Фишинговые атаки для доступа к системе обработки инцидентов,Нарушение безопасности,Высокий
Отказ в платформе для вычисления амортизации активов,Сбой приложения,Средний
Утрата пакетов в голосовой радиосвязи,Ухудшение сервиса,Средний
Сбой в платформе для хранения дизайнерских шаблонов,Сбой приложения,Средний
Поломка модема для запасного спутникового соединения,Аппаратный сбой,Высокий
Незаконное редактирование настроек балансировщиков трафика,Нарушение безопасности,Высокий
Отсутствие обновлений статуса ремонта в учете оборудования,Ухудшение сервиса,Низкий
Отказ в платформе для проверки оригинальности контента,Сбой приложения,Низкий
Фальшивые запросы на отпуска в кадровой системе,Нарушение безопасности,Низкий
Задержки в данных от метеорадаров,Ухудшение сервиса,Средний
Сбой в платформе для аренды оборудования,Сбой приложения,Средний
Поломка системы оповещения в офисе на фоне,Аппаратный сбой,Низкий
Утечка шаблонов слайдов через открытый файлообмен,Нарушение безопасности,Низкий
Отказ в платформе для отчетов о производительности,Сбой приложения,Средний
Зависание ПК при связи с конкретными сетевыми принтерами,Ухудшение сервиса,Низкий
Сбой в платформе для сети филиалов,Сбой приложения,Высокий
Поломка мониторинга воздуха в серверной комнате,Аппаратный сбой,Низкий
Кибератака на платформу расписания общественного транспорта,Нарушение безопасности,Средний
Отказ в платформе для годовых бонусов,Сбой приложения,Средний
Разрыв связи с системой контроля аквапарка в развлекательном комплексе,Потеря связи,Высокий
Сбой в платформе для волонтерских инициатив,Сбой приложения,Низкий
Сотрудник забыл пароль от своего же дня рождения.,Сбой приложения,Низкий
Сервер перезагрузился потому что уборщица задела провод пылесосом.,Аппаратный сбой,Средний
Хакер взломал систему и установил смайлики вместо курсора.,Нарушение безопасности,Низкий
База данных замедлила работу узнав о своем размере.,Ухудшение сервиса,Низкий
Программист налил кофе на клавиатуру и потребовал ремонт по гарантии.,Аппаратный сбой,Низкий
Системный администратор ушел в отпуск и ни один пароль больше не работает.,Нарушение безопасности,Средний
Приложение выдает ошибку 418 "I'm a teapot" при попытке заварить чай.,Сбой приложения,Низкий
Ноутбук начал самопроизвольно проигрывать песню "Never Gonna Give You Up".,Нарушение безопасности,Низкий
Мышь убежала от сотрудника и спряталась в системном блоке.,Аппаратный сбой,Низкий
Приложение для видеоконференций добавило всем участникам заячьи ушки.,Сбой приложения,Низкий
Сотрудник пытался зарядить беспроводную мышь через USB.,Аппаратный сбой,Низкий
Система резервного копирования успешно сохранила нули и единицы.,Сбой приложения,Низкий
Сайт компании начал показывать цены в зубах дракона вместо долларов.,Сбой приложения,Низкий
Сотрудник нажал Ctrl+Z в реальной жизни ожидая отмены действия.,Ухудшение сервиса,Низкий
Принтер начал печатать все документы на оборотной стороне уже использованной бумаги.,Аппаратный сбой,Низкий
Сотрудник создал папку "Новая папка" для систематизации других "Новых папок".,Сбой приложения,Низкий
Сервер начал проигрывать колыбельную каждый день в 18:00.,Нарушение безопасности,Низкий
Сотрудник пытался обновить Windows поливая компьютер водой.,Аппаратный сбой,Высокий
Сайт компании перестал работать в пятницу в 17:01.,Сбой приложения,Средний
Программист пытался отладить код с помощью гадания на кофейной гуще.,Сбой приложения,Низкий
Сотрудник сохранил пароль в файле "пароли.txt" на рабочем столе.,Нарушение безопасности,Средний
Принтер начал печатать все документы в стиле хайку.,Аппаратный сбой,Низкий
Сайт компании начал просить пользователей ввести CAPTCHA для входа в CAPTCHA.,Сбой приложения,Низкий
Сотрудник пытался "зарядить" беспроводную клавиатуру на солнце.,Аппаратный сбой,Низкий
Система резервного копирования начала создавать резервные копии самих резервных копий.,Сбой приложения,Низкий
Сотрудник думал что Firewall - это новая модель камина.,Нарушение безопасности,Низкий
Монитор начал показывать экран загрузки с шутками про грузящихся программистов.,Аппаратный сбой,Низкий
Сотрудник пытался обновить антивирус заливая в компьютер антибактериальный гель.,Аппаратный сбой,Высокий
Приложение для видеозвонков начало добавлять всем костюмы супергероев.,Сбой приложения,Низкий
Сервер начал публиковать в Twitter цитаты из Шекспира.,Нарушение безопасности,Низкий
Сотрудник думал что Bitcoin - это новая игральная фишка.,Сбой приложения,Низкий
Сеть начала работать медленнее когда сотрудники начали активно работать.,Ухудшение сервиса,Средний
Программист пытался починить баг переименовав переменную в "не_баг".,Сбой приложения,Низкий
Сотрудник отправил важное письмо с темой "письмо" и удивляется что его не находят.,Сбой приложения,Низкий
Принтер начал печатать все документы задом наперед.,Аппаратный сбой,Низкий
Сайт компании начал показывать пользователям их будущее в кривом зеркале.,Сбой приложения,Низкий
Сотрудник пытался "разогнать" компьютер дуя на него.,Аппаратный сбой,Низкий
Система распознавания лиц начала путать сотрудников с известными актерами.,Сбой приложения,Низкий
Сотрудник думал что SQL - это аббревиатура от "Super Quiet Library".,Сбой приложения,Низкий
Монитор начал показывать только зеленый текст "в стиле Матрицы".,Аппаратный сбой,Низкий
Сотрудник пытался сделать бекап фотографируя экран на телефон.,Сбой приложения,Низкий
Приложение для учета рабочего времени начало учитывать время сна сотрудников.,Сбой приложения,Низкий
Сервер начал проигрывать саундтрек из "Игры престолов" при запуске.,Нарушение безопасности,Низкий
Сотрудник думал что API - это новый пирог в столовой.,Сбой приложения,Низкий
Сеть Wi-Fi стала требовать пароль от Wi-Fi соседнего кафе.,Нарушение безопасности,Низкий
Программист пытался исправить ошибку перезапустив стул.,Сбой приложения,Низкий
Сотрудник сохранил все пароли в блокноте под клавиатурой.,Нарушение безопасности,Средний
Принтер начал печатать все документы с рецептами пирожных.,Аппаратный сбой,Низкий
Сайт компании начал показывать погоду на Марсе вместо местной.,Сбой приложения,Низкий
Сотрудник пытался "почистить" оперативную память протерев плату ластиком.,Аппаратный сбой,Высокий
Система чат-бота начала давать советы по личной жизни.,Сбой приложения,Низкий
Сотрудник думал что Kubernetes - это имя греческого бога.,Сбой приложения,Низкий
Монитор начал показывать экран с бегущими строками анекдотов.,Аппаратный сбой,Низкий
Сотрудник пытался "закриптовать" свою работу напевая код.,Сбой приложения,Низкий
Приложение для расчета налогов начало вычислять налоги в золотых слитках.,Сбой приложения,Средний
Сервер начал требовать для входа не только пароль но и стишок.,Нарушение безопасности,Низкий
Сотрудник думал что Docker - это профессия портового рабочего.,Сбой приложения,Низкий
Сеть начала работать быстрее по пятницам после 18:00.,Ухудшение сервиса,Низкий
Программист пытался отладить код рассказывая ему о своих проблемах.,Сбой приложения,Низкий
Сотрудник отправил в IT-поддержку тикет "Компьютер не включается" не подключив его к розетке.,Аппаратный сбой,Низкий
Отказ в платформе для контроля дистрибьюторской сети,Сбой приложения,Высокий
Поломка системы мониторинга уровня шума в дата-центре,Аппаратный сбой,Низкий
Кибератака на платформу управления медицинскими данными,Нарушение безопасности,Высокий
Отказ в системе подсчета дней отпуска,Сбой приложения,Средний
Разрыв связи с платформой управления транспортными средствами,Потеря связи,Высокий
Отказ в системе контроля выставочных стендов,Сбой приложения,Средний
Поломка системы охлаждения жидкостью,Аппаратный сбой,Высокий
Незаконный доступ к платформе корпоративных праздников,Нарушение безопасности,Низкий
Отказ в системе управления библиотекой,Сбой приложения,Низкий
Задержки в обмене данными между модулями ERP,Ухудшение сервиса,Высокий
Отказ в платформе для управления рекламными площадями,Сбой приложения,Средний
Поломка биометрической системы доступа по отпечатку,Аппаратный сбой,Средний
Утечка информации о производительности сотрудников,Нарушение безопасности,Средний
Отказ в системе работы со стейкхолдерами,Сбой приложения,Низкий
Непреднамеренное шифрование файлов законным ПО,Ухудшение сервиса,Средний
Проблемы с загрузкой иконок в интерфейсе кастомного ПО,Сбой приложения,Низкий
Поломка системы мониторинга температуры процессоров,Аппаратный сбой,Средний
Фишинг с применением deepfake голоса,Нарушение безопасности,Высокий
Отказ в платформе для управления инновациями,Сбой приложения,Низкий
Разрыв связи с платформой контроля качества воды в ЖКХ,Потеря связи,Высокий
Отказ в системе управления телеком-оборудованием,Сбой приложения,Высокий
Поломка системы экстренного отключения питания,Аппаратный сбой,Высокий
Утечка клиентских данных через мобильное приложение,Нарушение безопасности,Высокий
Отказ в системе корпоративной этики,Сбой приложения,Низкий
Зависание при параллельном доступе к одному документу,Ухудшение сервиса,Средний
Отказ сканера на рабочем месте секретаря,Сбой приложения,Низкий
Полный сбой коммутатора в ядре сети,Аппаратный сбой,Высокий
Выявление ботнета на группе рабочих станций,Нарушение безопасности,Высокий
Проблемы синхронизации данных между головным офисом и филиалом,Сбой приложения,Средний
Постоянные интерференции в VoIP-связи,Ухудшение сервиса,Средний
Отказ в системе заказов из-за чего клиенты не могут оформить покупку,Сбой приложения,Высокий
Поломка вентиляции в серверной стойке,Аппаратный сбой,Высокий
Утечка данных платежных карт через взломанную базу,Нарушение безопасности,Высокий
Задержки в обработке транзакций банковской системы,Ухудшение сервиса,Высокий
Отказ электронной очереди в клиентском отделе,Сбой приложения,Средний
Физический разрыв кабеля между зданиями,Потеря связи,Средний
Отказ в системе бронирования номеров отеля,Сбой приложения,Высокий
Поломка блока питания в файловом сервере,Аппаратный сбой,Средний
Баннер на внутреннем портале ведет на фишинговый сайт,Нарушение безопасности,Средний
Зависание при генерации сложного отчета,Ухудшение сервиса,Низкий
Отказ автодозвона в колл-центре,Сбой приложения,Средний
Затопление дата-центра от прорыва трубы,Аппаратный сбой,Высокий
Компрометация SSH-ключа для критических серверов,Нарушение безопасности,Высокий
Перегрузка канала связи от несанкционированных скачиваний,Ухудшение сервиса,Средний
Отсутствие обновлений в интерфейсе управления виртуальными машинами,Сбой приложения,Средний
Разрыв связи с удаленным складом из-за грозы,Потеря связи,Средний
Отказ в системе контроля версий Git,Сбой приложения,Средний
Поломка кластера серверов для отказоустойчивости,Аппаратный сбой,Высокий
Атака ransomware на базу данных 1С,Нарушение безопасности,Высокий
Медленная загрузка пользовательских профилей при логине,Ухудшение сервиса,Низкий
Отказ API для интеграции с партнерским сервисом,Сбой приложения,Высокий
Перегрев и сбой коммутатора в торговом зале,Аппаратный сбой,Средний
Фальшивое письмо от директора с просьбой о переводе денег,Нарушение безопасности,Высокий
Утрата пакетов в сети во время голосовой передачи,Ухудшение сервиса,Средний
Отказ в системе мониторинга,Сбой приложения,Средний
Сбой ИБП при переключении,Аппаратный сбой,Высокий
Незаконный доступ к системе видеонаблюдения,Нарушение безопасности,Высокий
Снижение производительности веб-сервера под нагрузкой,Ухудшение сервиса,Высокий
Поломка сканера для чтения штрих-кодов на складском помещении,Аппаратный сбой,Средний
Утечка информации о переговорах с деловыми партнерами,Нарушение безопасности,Высокий
Очень замедленная функционирование системы в начале рабочего месяца,Ухудшение сервиса,Высокий
Отказ системы уведомлений о критических событиях,Сбой приложения,Высокий
Сбой в генерации отчетов в системе бизнес-аналитики,Сбой приложения,Средний
Поломка панели для управления виртуальной инфраструктурой,Аппаратный сбой,Высокий
Незаконный доступ к журналам сервера,Нарушение безопасности,Средний
Разрыв связи с серверами в другом регионе,Потеря связи,Средний
Отказ в системе контроля репутации,Сбой приложения,Низкий
Перегрев и поломка видеокарт на рендеринговом сервере,Аппаратный сбой,Высокий
Фишинговая атака на HR-отдел с требованием личных данных,Нарушение безопасности,Средний
Отказ системы проверки орфографии в клиенте электронной почты,Сбой приложения,Низкий
Задержка отображения валютных курсов в финансовой платформе,Ухудшение сервиса,Средний
Отказ в системе управления идентификацией и доступом (IAM),Сбой приложения,Высокий
Поломка системы контроля физического доступа в центр обработки данных,Аппаратный сбой,Высокий
Выявление malware шифрующего файлы на сетевом диске,Нарушение безопасности,Высокий
Нестабильная работа приложения для мобильного заказа такси,Ухудшение сервиса,Высокий
Отказ системы онлайн-резервирования столов в ресторане,Сбой приложения,Средний
Поломка системы тревожной сигнализации в серверной комнате,Аппаратный сбой,Высокий
Утечка данных из тестовой среды с реальными записями,Нарушение безопасности,Средний
Отказ в системе контроля рекламных кампаний,Сбой приложения,Высокий
Разрыв связи с платежным гейтвеем,Потеря связи,Высокий
Отказ в системе обработки инцидентов,Сбой приложения,Высокий
Поломка системы газового тушения пожара в дата-центре,Аппаратный сбой,Высокий
Кибератака на платформу управления промышленными процессами (ICS/SCADA),Нарушение безопасности,Высокий
Отказ в системе учета времени работы,Сбой приложения,Средний
Зависание ПК при соединении с проектором,Аппаратный сбой,Низкий
Утечка гостевого пароля от Wi-Fi сети,Нарушение безопасности,Низкий
Проблемы с загрузкой скриптов на странице личного кабинета,Ухудшение сервиса,Средний
Отказ в системе базы знаний для управления информацией,Сбой приложения,Низкий
Отказ виджета погоды на внутреннем корпоративном портале,Сбой приложения,Низкий
Поломка системы подавления пыли в серверной,Аппаратный сбой,Низкий
Перехват трафика мобильного приложения через фальшивую точку Wi-Fi,Нарушение безопасности,Высокий
Ошибка в алгоритме рекомендаций продуктов,Сбой приложения,Средний
Дрожание курсора мыши на отдельных рабочих местах,Ухудшение сервиса,Низкий
Отказ модуля контроля лимитов расходов,Сбой приложения,Средний
Разрушение батареи аккумуляторов в источнике бесперебойного питания,Аппаратный сбой,Высокий
Утечка переписки топ-менеджмента через взломанный мессенджер,Нарушение безопасности,Высокий
Расхождение времени между серверами и сетевым оборудованием,Ухудшение сервиса,Средний
Отказ в системе учета времени по проектам,Сбой приложения,Средний
Обрыв кабеля из меди по причине коррозии,Потеря связи,Средний
Отказ в системе контроля роботизированного склада,Сбой приложения,Высокий
Поломка системы увлажнения воздуха в центре обработки данных,Аппаратный сбой,Средний
Фальшивые оповещения от системы безопасности на ПК сотрудников,Нарушение безопасности,Средний
Замедленная работа системы с объемными отчетами,Ухудшение сервиса,Низкий
Отказ автоматического переводчика в корпоративном чате,Сбой приложения,Низкий
Короткое замыкание в розеточной панели под столом,Аппаратный сбой,Низкий
Рассылка фишинговых сообщений от имени техподдержки,Нарушение безопасности,Средний
Утрата пакетов при стриминге видео с камер видеонаблюдения,Ухудшение сервиса,Средний
Отказ в системе программы лояльности,Сбой приложения,Средний
Поломка датчика дыма в серверной комнате,Аппаратный сбой,Высокий
Генерация ложных задач в системе управления проектами,Нарушение безопасности,Низкий
Отсутствие обновлений котировок акций на финансовом портале,Сбой приложения,Низкий
Разрыв связи с удаленными сенсорами температуры на складе,Потеря связи,Средний
Отказ в системе контроля полиграфического оборудования,Сбой приложения,Высокий
Поломка интерфейсной карты в сетевом хранилище,Аппаратный сбой,Средний
Кибератака на платформу управления уличным освещением в муниципалитете,Нарушение безопасности,Средний
Медленная загрузка панорамных фото на сайте недвижимости,Ухудшение сервиса,Низкий
Отказ в системе опросов для сотрудников,Сбой приложения,Низкий
Перегрев патч-панели от недостаточной вентиляции,Аппаратный сбой,Низкий
Утечка информации о научно-исследовательских работах через уязвимость в коллаборативной системе,Нарушение безопасности,Высокий
Отказ в системе управления архитектурой компании,Сбой приложения,Низкий
Непреднамеренная блокировка законного трафика фаерволом,Ухудшение сервиса,Высокий
Проблемы с загрузкой аватаров в внутренней социальной сети,Сбой приложения,Низкий
Поломка системы мониторинга вибраций в серверной стойке,Аппаратный сбой,Низкий
Выявление кейлоггера на компьютере финансового директора,Нарушение безопасности,Высокий
Зависание при экспорте большого количества данных,Ухудшение сервиса,Средний
Отказ в системе обработки сервисных запросов,Сбой приложения,Средний
Сбой в тестовой системе оповещения без влияния на производство,Аппаратный сбой,Низкий
Фишинг для получения доступа к платформе стейкхолдеров,Нарушение безопасности,Средний
Отказ в системе расчета налога на транспорт для автопарка,Сбой приложения,Средний
Утрата пакетов в сети при передаче телеметрических данных,Ухудшение сервиса,Средний
Отказ в системе контроля дизайн-проектов,Сбой приложения,Средний
Поломка модема для спутниковой связи на удаленном объекте,Аппаратный сбой,Высокий
Незаконное изменение скриптов развертывания,Нарушение безопасности,Высокий
Отсутствие обновлений статуса оборудования в мониторинге,Ухудшение сервиса,Средний
Поломка системы охлаждения в серверной комнате,Аппаратный сбой,Высокий
Потеря корпоративного мобильного устройства с доступом к почте,Нарушение безопасности,Средний
Замедленная загрузка страниц внутреннего портала,Ухудшение сервиса,Низкий
Отказ службы каталогов (Active Directory),Сбой приложения,Высокий
Физическое повреждение кабеля локальной сети в коридоре,Аппаратный сбой,Низкий
Отказ кнопки "Заказать звонок" на веб-сайте,Сбой приложения,Низкий
Выявление spyware на компьютере менеджера по продажам,Нарушение безопасности,Средний
Перегрузка канала связи с филиалом,Ухудшение сервиса,Средний
Отказ системы учета на складе,Сбой приложения,Высокий
Поломка дискового массива RAID,Аппаратный сбой,Высокий
Подозрительная активность в сети с рабочей станции,Нарушение безопасности,Высокий
Отказ в отправке автоматических email-уведомлений,Сбой приложения,Средний
Отказ факсимильной связи,Сбой приложения,Низкий
Скачок напряжения повредивший источник бесперебойного питания,Аппаратный сбой,Средний
Утечка паролей сотрудников в публичный доступ,Нарушение безопасности,Высокий
Задержки в отображении актуальных данных в системе отчетности,Ухудшение сервиса,Средний
Отказ системы онлайн-записи на прием,Сбой приложения,Средний
Поломка проектора в комнате для переговоров,Аппаратный сбой,Низкий
Блокировка аккаунтов пользователей от brute-force атак,Нарушение безопасности,Средний
Периодические прерывания VPN для удаленных сотрудников,Потеря связи,Средний
Отказ системы управления проектами,Сбой приложения,Низкий
Заполнение дискового пространства на сервере почты,Ухудшение сервиса,Высокий
Поломка кассового терминалаин тегрированного с системой,Аппаратный сбой,Высокий
Незаконная установка программного обеспечения на сервер,Нарушение безопасности,Высокий
Отказ в обновлении контента на главной странице сайта,Сбой приложения,Низкий
Поломка системы аварийного энергоснабжения,Аппаратный сбой,Высокий
Перехват трафика в открытой Wi-Fi сети офиса,Нарушение безопасности,Средний
Сильная фрагментация базы данных вызывающая замедления,Ухудшение сервиса,Средний
Отказ мобильного приложения для сотрудников,Сбой приложения,Средний
Обрыв оптоволоконной линии связи,Потеря связи,Высокий
Отказ системы бухгалтерского учета,Сбой приложения,Высокий
Перегрев и снижение тактовой частоты процессоров на сервере,Аппаратный сбой,Высокий
Компрометация аккаунта с повышенными привилегиями,Нарушение безопасности,Высокий
Отказ голосового ассистента на сайте,Сбой приложения,Низкий
Высокий пинг в играх на корпоративной сети мешающий работе,Ухудшение сервиса,Низкий
Отказ системы проведения вебинаров,Сбой приложения,Средний
Поломка точки доступа Wi-Fi в холле,Аппаратный сбой,Низкий
Adware в браузерах сотрудников,Нарушение безопасности,Низкий
Разрыв сетевого соединения с системой видеоконференций,Потеря связи,Средний
Ошибка 500 на корпоративном портале при загрузке документов,Сбой приложения,Средний
Поломка вентилятора в сервере,Аппаратный сбой,Средний
Фальшивый корпоративный сайт,Нарушение безопасности,Высокий
Расхождение времени на серверах,Ухудшение сервиса,Средний
Отказ калькулятора на сайте,Сбой приложения,Низкий
Затопление серверной от протечки кондиционера,Аппаратный сбой,Высокий
Несанкционированный доступ к облачной базе данных из-за утечки ключей,Нарушение безопасности,Высокий
Замедленная работа с удаленным рабочим столом,Ухудшение сервиса,Средний
Отказ чат-бота техподдержки,Сбой приложения,Низкий
Поломка коммутатора в производственном цехе,Аппаратный сбой,Высокий
Атака "man-in-the-middle" в локальной сети,Нарушение безопасности,Высокий
Проблемы с загрузкой графических элементов в веб-приложении,Ухудшение сервиса,Низкий
Отказ системы управления персоналом (расчет зарплат),Сбой приложения,Высокий
Поломка системы хранения данных,Аппаратный сбой,Высокий
Заражение криптомайнером на сервере разработки,Нарушение безопасности,Средний
Потеря голоса в IP-телефонии,Ухудшение сервиса,Средний
Отказ формы обратной связи на landing page,Сбой приложения,Низкий
Скачок напряжения вызвавший потерю данных на нескольких ПК,Аппаратный сбой,Средний
Социальная инженерия: сотрудник раскрыл логин и пароль злоумышленнику,Нарушение безопасности,Высокий
Задержки в доставке push-уведомлений,Ухудшение сервиса,Низкий
Отказ системы тестирования ПО,Сбой приложения,Низкий
Поломка контроллера домена,Сбой приложения,Высокий
Кража ноутбука из комнаты переговоров,Нарушение безопасности,Высокий
Высокая задержка в сети при использовании RDP,Ухудшение сервиса,Средний
Отказ системы SMS-уведомлений клиентов,Сбой приложения,Средний
Поломка системы пожаротушения в центре обработки данных,Аппаратный сбой,Высокий
SQL-инъекция в корпоративном веб-приложении,Нарушение безопасности,Высокий
"Синий экран смерти" на нескольких одинаковых рабочих станциях,Аппаратный сбой,Средний
Отказ в обновлении ПО на терминалах,Ухудшение сервиса,Средний
Отказ геолокационного сервиса для курьеров,Сбой приложения,Высокий
Отключение электричества в дата-центре,Аппаратный сбой,Высокий
Незаконное изменение DNS-записей,Нарушение безопасности,Высокий
Частые прерывания связи с облачным хостингом,Потеря связи,Средний
Отказ интеграции между CRM и телефонией,Сбой приложения,Высокий
Поломка модема для резервного канала связи,Аппаратный сбой,Средний
Утечка внутренних переписок сотрудников в интернет,Нарушение безопасности,Высокий
Отказ кнопки "Поделиться" в корпоративном блоге,Сбой приложения,Низкий
Поломка системы охлаждения CPU на сервере базы данных,Аппаратный сбой,Высокий
Проникновение в сеть через уязвимость в интерфейсе принтера,Нарушение безопасности,Средний
Ошибка округления в финансовых отчетах,Сбой приложения,Средний
Дрожание изображения на мониторах из-за сетевых проблем,Ухудшение сервиса,Низкий
Отказ модуля расчета зарплаты,Сбой приложения,Высокий
Разряд статического электричества повредивший материнскую плату,Аппаратный сбой,Средний
