text,category,urgency
Утечка данных о переговорах от подслушивающего устройства,Нарушение безопасности,Высокий
Задержка синхронизации между кэшем и основной базой данных,Ухудшение сервиса,Средний
Отказ системы напоминаний о встречах в календаре,Сбой приложения,Низкий
Обрыв оптоволокна от строительных работ,Потеря связи,Высокий
Отказ системы управления лабораторным оборудованием,Сбой приложения,Высокий
Поломка системы рециркуляции воздуха в серверной,Аппаратный сбой,Средний
Компрометация сессионных cookies на корпоративном портале,Нарушение безопасности,Высокий
Замедленная работа графического редактора на мощных станциях,Ухудшение сервиса,Низкий
Отказ автозаполнения форм в CRM,Сбой приложения,Низкий
Короткое замыкание в патч-панели,Аппаратный сбой,Средний
Рассылка спама с корпоративных email-аккаунтов,Нарушение безопасности,Средний
Высокий джиттер в голосовой связи,Ухудшение сервиса,Средний
Отказ системы управления аттестациями,Сбой приложения,Средний
Поломка датчика температуры в серверной стойке,Аппаратный сбой,Средний
Фальшивые аккаунты в системе корпоративного обмена сообщениями,Нарушение безопасности,Низкий
Отказ в обновлении интерактивной карты на сайте,Сбой приложения,Низкий
Разрыв связи с удаленным объектом от сбоя спутниковой связи,Потеря связи,Средний
Отказ системы управления испытаниями,Сбой приложения,Высокий
Поломка платы расширения на сервере,Аппаратный сбой,Средний
Кибератака на систему управления умным зданием (отопление свет),Нарушение безопасности,Средний
Долгая буферизация видео в системе корпоративного обучения,Ухудшение сервиса,Низкий
Отказ системы голосования на внутреннем портале,Сбой приложения,Низкий
Перегрузка стабилизатора напряжения,Аппаратный сбой,Средний
Утечка метаданных из документов отправляемых клиентам,Нарушение безопасности,Средний
Отказ системы управления сертификатами,Сбой приложения,Средний
Непреднамеренное изменение маршрутов в сетевой конфигурации,Ухудшение сервиса,Высокий
Проблемы с загрузкой шрифтов в корпоративном редакторе,Сбой приложения,Низкий
Поломка системы контроля протечек воды в центре обработки данных,Аппаратный сбой,Высокий
Выявление нелицензионного ПО на сервере,Нарушение безопасности,Средний
Зависание системы при большом количестве одновременных пользователей,Ухудшение сервиса,Высокий
Отказ системы учета инвентаря,Сбой приложения,Средний
Поломка резервного генератора при тесте,Аппаратный сбой,Высокий
Фишинговая атака на отдел разработки,Нарушение безопасности,Высокий
Отказ системы преобразования текста в речь,Сбой приложения,Низкий
Утрата пакетов при передаче данных в реальном времени,Ухудшение сервиса,Средний
Отказ системы управления проектной документацией,Сбой приложения,Высокий
Поломка модема для резервного 4G-соединения,Аппаратный сбой,Средний
Незаконное изменение конфигурации виртуальной машины,Нарушение безопасности,Средний
Отсутствие обновлений статуса задач в системе управления проектами,Ухудшение сервиса,Низкий
Отказ системы проверки на плагиат,Сбой приложения,Низкий
Перехват сигнала беспроводной клавиатуры,Нарушение безопасности,Средний
Задержка в получении данных от IoT-датчиков,Ухудшение сервиса,Средний
Отказ системы управления арендой,Сбой приложения,Средний
Поломка системы звукового оповещения,Аппаратный сбой,Средний
Утечка логики бизнес-процессов через публичный репозиторий,Нарушение безопасности,Высокий
Отказ системы управления отзывами клиентов,Сбой приложения,Низкий
Зависание ПК при подключении к VPN,Ухудшение сервиса,Средний
Отказ системы управления логистикой,Сбой приложения,Высокий
Поломка системы мониторинга энергопотребления,Аппаратный сбой,Низкий
Атака с использованием сайта-двойника для сервиса авторизации,Нарушение безопасности,Высокий
Отказ системы расчета рейтингов сотрудников,Сбой приложения,Средний
Разрыв связи с системой управления складскими роботами,Потеря связи,Высокий
Отказ системы управления франшизой,Сбой приложения,Высокий
Поломка ИБП для системы хранения данных,Аппаратный сбой,Высокий
Утечка данных о внутренних тестах продукта,Нарушение безопасности,Средний
Отказ системы управления корпоративными событиями,Сбой приложения,Низкий
Задержка в обновлении информации на офисных табло,Ухудшение сервиса,Низкий
Отказ системы управления политиками доступа,Сбой приложения,Высокий
Поломка системы очистки воздуха от пыли в серверной,Аппаратный сбой,Средний
Выявление backdoor в прошивке сетевого устройства,Нарушение безопасности,Высокий
Отказ системы управления корпоративными стандартами,Сбой приложения,Низкий
Непреднамеренное удаление раздела на файловом сервере,Ухудшение сервиса,Высокий
Проблемы с загрузкой превью документов в системе,Сбой приложения,Низкий
Поломка системы резервного копирования на ленточную библиотеку,Аппаратный сбой,Средний
Компрометация корпоративного аккаунта в LinkedIn,Нарушение безопасности,Средний
Отказ системы управления идеями сотрудников,Сбой приложения,Низкий
Разрыв связи с системой управления цифровыми вывесками,Потеря связи,Средний
Отказ системы управления безопасностью полетов (для авиакомпании),Сбой приложения,Высокий
Поломка системы вакуумного охлаждения,Аппаратный сбой,Высокий
Утечка данных о стратегических планах компании,Нарушение безопасности,Высокий
Отказ системы управления корпоративной социальной сетью,Сбой приложения,Низкий
Зависание системы при обработке больших файлов,Ухудшение сервиса,Средний
Отказ в платформе для контроля дистрибьюторской сети,Сбой приложения,Высокий
Поломка системы мониторинга уровня шума в дата-центре,Аппаратный сбой,Низкий
Кибератака на платформу управления медицинскими данными,Нарушение безопасности,Высокий
Отказ в системе подсчета дней отпуска,Сбой приложения,Средний
Разрыв связи с платформой управления транспортными средствами,Потеря связи,Высокий
Отказ в системе контроля выставочных стендов,Сбой приложения,Средний
Поломка системы охлаждения жидкостью,Аппаратный сбой,Высокий
Незаконный доступ к платформе корпоративных праздников,Нарушение безопасности,Низкий
Отказ в системе управления библиотекой,Сбой приложения,Низкий
Задержки в обмене данными между модулями ERP,Ухудшение сервиса,Высокий
Отказ в платформе для управления рекламными площадями,Сбой приложения,Средний
Поломка биометрической системы доступа по отпечатку,Аппаратный сбой,Средний
Утечка информации о производительности сотрудников,Нарушение безопасности,Средний
Отказ в системе работы со стейкхолдерами,Сбой приложения,Низкий
Непреднамеренное шифрование файлов законным ПО,Ухудшение сервиса,Средний
Проблемы с загрузкой иконок в интерфейсе кастомного ПО,Сбой приложения,Низкий
Поломка системы мониторинга температуры процессоров,Аппаратный сбой,Средний
Фишинг с применением deepfake голоса,Нарушение безопасности,Высокий
Отказ в платформе для управления инновациями,Сбой приложения,Низкий
Разрыв связи с платформой контроля качества воды в ЖКХ,Потеря связи,Высокий
Отказ в системе управления телеком-оборудованием,Сбой приложения,Высокий
Поломка системы экстренного отключения питания,Аппаратный сбой,Высокий
Утечка клиентских данных через мобильное приложение,Нарушение безопасности,Высокий
Отказ в системе корпоративной этики,Сбой приложения,Низкий
Зависание при параллельном доступе к одному документу,Ухудшение сервиса,Средний
Отказ сканера на рабочем месте секретаря,Сбой приложения,Низкий
Полный сбой коммутатора в ядре сети,Аппаратный сбой,Высокий
Выявление ботнета на группе рабочих станций,Нарушение безопасности,Высокий
Проблемы синхронизации данных между головным офисом и филиалом,Сбой приложения,Средний
Постоянные интерференции в VoIP-связи,Ухудшение сервиса,Средний
Отказ в системе заказов из-за чего клиенты не могут оформить покупку,Сбой приложения,Высокий
Поломка вентиляции в серверной стойке,Аппаратный сбой,Высокий
Утечка данных платежных карт через взломанную базу,Нарушение безопасности,Высокий
Задержки в обработке транзакций банковской системы,Ухудшение сервиса,Высокий
Отказ электронной очереди в клиентском отделе,Сбой приложения,Средний
Физический разрыв кабеля между зданиями,Потеря связи,Средний
Отказ в системе бронирования номеров отеля,Сбой приложения,Высокий
Поломка блока питания в файловом сервере,Аппаратный сбой,Средний
Баннер на внутреннем портале ведет на фишинговый сайт,Нарушение безопасности,Средний
Зависание при генерации сложного отчета,Ухудшение сервиса,Низкий
Отказ автодозвона в колл-центре,Сбой приложения,Средний
Затопление дата-центра от прорыва трубы,Аппаратный сбой,Высокий
Компрометация SSH-ключа для критических серверов,Нарушение безопасности,Высокий
Перегрузка канала связи от несанкционированных скачиваний,Ухудшение сервиса,Средний
Отсутствие обновлений в интерфейсе управления виртуальными машинами,Сбой приложения,Средний
Разрыв связи с удаленным складом из-за грозы,Потеря связи,Средний
Рассылка фишинговых писем от имени службы поддержки,Нарушение безопасности,Средний
Потеря пакетов при трансляции видео с камер наблюдения,Ухудшение сервиса,Средний
Сбой в работе программы лояльности,Сбой приложения,Средний
Выход из строя датчика дыма в серверной,Аппаратный сбой,Высокий
Самопроизвольное создание ложных задач в системе управления проектами,Нарушение безопасности,Низкий
Неактуальные котировки акций на финансовом портале,Сбой приложения,Низкий
Обрыв связи с удаленными датчиками температуры на складе,Потеря связи,Средний
Сбой в системе управления полиграфическим оборудованием,Сбой приложения,Высокий
Выход из строя платы сетевого хранилища,Аппаратный сбой,Средний
Кибератака на систему управления уличным освещением,Нарушение безопасности,Средний
Долгая загрузка панорамных изображений на сайте недвижимости,Ухудшение сервиса,Низкий
Сбой в системе проведения опросов для сотрудников,Сбой приложения,Низкий
Перегрев коммутационной панели из-за плохой вентиляции,Аппаратный сбой,Низкий
Утечка данных исследований через уязвимость в системе совместной работы,Нарушение безопасности,Высокий
Сбой в системе управления архитектурой предприятия,Сбой приложения,Низкий
Ошибочная блокировка легитимного трафика межсетевым экраном,Ухудшение сервиса,Высокий
Проблемы с загрузкой аватарок в корпоративной соцсети,Сбой приложения,Низкий
Поломка системы мониторинга вибраций в серверной стойке,Аппаратный сбой,Низкий
Обнаружение кейлоггера на компьютере финансового директора,Нарушение безопасности,Высокий
Зависание системы при экспорте больших объемов данных,Ухудшение сервиса,Средний
Сбой в системе обработки заявок в службу поддержки,Сбой приложения,Средний
Неисправность в тестовой системе оповещений,Аппаратный сбой,Низкий
Фишинг для получения доступа к порталу стейкхолдеров,Нарушение безопасности,Средний
Сбой в системе расчета транспортного налога для автопарка,Сбой приложения,Средний
Потеря пакетов при передаче телеметрии,Ухудшение сервиса,Средний
Сбой в системе управления дизайн-проектами,Сбой приложения,Средний
Поломка спутникового модема на удаленном объекте,Аппаратный сбой,Высокий
Несанкционированное изменение скриптов развертывания,Нарушение безопасности,Высокий
Не обновляется статус оборудования в системе мониторинга,Ухудшение сервиса,Средний
Выход из строя системы кондиционирования в серверной,Аппаратный сбой,Высокий
Утрата корпоративного мобильного устройства с доступом к почте,Нарушение безопасности,Средний
Медленная работа страниц внутреннего портала,Ухудшение сервиса,Низкий
Сбой службы каталогов (Active Directory),Сбой приложения,Высокий
Механическое повреждение сетевого кабеля,Аппаратный сбой,Низкий
Не работает кнопка "Заказать звонок" на сайте,Сбой приложения,Низкий
Обнаружение шпионского ПО на компьютере менеджера по продажам,Нарушение безопасности,Средний
Перегрузка канала связи с филиалом,Ухудшение сервиса,Средний
Сбой системы складского учета,Сбой приложения,Высокий
Выход из строя массива RAID,Аппаратный сбой,Высокий
Подозрительная активность в сети с рабочей станции,Нарушение безопасности,Высокий
Сбой в отправке автоматических email-оповещений,Сбой приложения,Средний
Неисправность факсимильной связи,Сбой приложения,Низкий
Скачок напряжения повредивший ИБП,Аппаратный сбой,Средний
Публикация паролей сотрудников в открытом доступе,Нарушение безопасности,Высокий
Задержка в отображении данных в системе отчетности,Ухудшение сервиса,Средний
Сбой системы онлайн-записи,Сбой приложения,Средний
Поломка проектора в переговорной комнате,Аппаратный сбой,Низкий
Блокировка учетных записей из-за атак перебором,Нарушение безопасности,Средний
Нестабильное VPN-соединение для удаленных сотрудников,Потеря связи,Средний
Сбой системы управления проектами,Сбой приложения,Низкий
Переполнение дискового пространства на почтовом сервере,Ухудшение сервиса,Высокий
Поломка кассового терминала,Аппаратный сбой,Высокий
Неавторизированная установка ПО на сервер,Нарушение безопасности,Высокий
Сбой в обновлении контента на главной странице сайта,Сбой приложения,Низкий
Выход из строя системы аварийного питания,Аппаратный сбой,Высокий
Перехват трафика в гостевой Wi-Fi сети офиса,Нарушение безопасности,Средний
Сильная фрагментация базы данных приводящая к замедлениям,Ухудшение сервиса,Средний
Сбой мобильного приложения для сотрудников,Сбой приложения,Средний
Обрыв магистрального оптоволоконного канала,Потеря связи,Высокий
Сбой системы бухгалтерского учета,Сбой приложения,Высокий
Перегрев и троттлинг процессоров на сервере,Аппаратный сбой,Высокий
Компрометация учетной записи с привилегированным доступом,Нарушение безопасности,Высокий
Неисправность голосового помощника на сайте,Сбой приложения,Низкий
Высокая задержка в корпоративной сети мешающая работе,Ухудшение сервиса,Низкий
Сбой системы проведения вебинаров,Сбой приложения,Средний
Поломка точки доступа Wi-Fi в холле,Аппаратный сбой,Низкий
Рекламное ПО в браузерах сотрудников,Нарушение безопасности,Низкий
Разрыв соединения с системой видеоконференцсвязи,Потеря связи,Средний
Ошибка 500 при загрузке документов на корпоративном портале,Сбой приложения,Средний
Выход из строя вентилятора в сервере,Аппаратный сбой,Средний
Создание фишинговой копии корпоративного сайта,Нарушение безопасности,Высокий
Рассинхронизация времени на серверах,Ухудшение сервиса,Средний
Не работает калькулятор на сайте,Сбой приложения,Низкий
Затопление серверной из-за протечки кондиционера,Аппаратный сбой,Высокий
Несанкционированный доступ к облачной БД из-за утечки ключей,Нарушение безопасности,Высокий
Медленная работа удаленного рабочего стола,Ухудшение сервиса,Средний
Сбой чат-бота службы поддержки,Сбой приложения,Низкий
Поломка коммутатора в цехе,Аппаратный сбой,Высокий
Атака "человек посередине" в локальной сети,Нарушение безопасности,Высокий
Проблемы с отображением графики в веб-приложении,Ухудшение сервиса,Низкий
Сбой системы расчета заработной платы,Сбой приложения,Высокий
Выход из строя системы хранения данных,Аппаратный сбой,Высокий
Заражение крипто-майнером на сервере разработки,Нарушение безопасности,Средний
Пропажа звука в IP-телефонии,Ухудшение сервиса,Средний
Не работает форма обратной связи на лендинге,Сбой приложения,Низкий
Скачок напряжения приведший к потере данных на ПК,Аппаратный сбой,Средний
Раскрытие учетных данных сотрудником в результате социальной инженерии,Нарушение безопасности,Высокий
Задержки в доставке push-уведомлений,Ухудшение сервиса,Низкий
Сбой системы тестирования ПО,Сбой приложения,Низкий
Выход из строя контроллера домена,Сбой приложения,Высокий
Кража ноутбука из переговорной,Нарушение безопасности,Высокий
Высокие задержки при использовании RDP,Ухудшение сервиса,Средний
Сбой системы SMS-информирования клиентов,Сбой приложения,Средний
Поломка системы пожаротушения в ЦОД,Аппаратный сбой,Высокий
SQL-инъекция в корпоративном веб-приложении,Нарушение безопасности,Высокий
"Синий экран" на нескольких рабочих станциях,Аппаратный сбой,Средний
Сбой в обновлении ПО на терминалах,Ухудшение сервиса,Средний
Сбой геолокационного сервиса для курьеров,Сбой приложения,Высокий
Отключение электропитания в дата-центре,Аппаратный сбой,Высокий
Несанкционированное изменение DNS-записей,Нарушение безопасности,Высокий
Частые обрывы связи с облачным хостингом,Потеря связи,Средний
Сбой интеграции между CRM и телефонией,Сбой приложения,Высокий
Поломка модема для резервного канала,Аппаратный сбой,Средний
Утечка внутренней переписки сотрудников в сеть,Нарушение безопасности,Высокий
Не работает кнопка "Поделиться" в корпоративном блоге,Сбой приложения,Низкий
Выход из строя системы охлаждения ЦП на сервере БД,Аппаратный сбой,Высокий
Проникновение в сеть через уязвимость сетевого принтера,Нарушение безопасности,Средний
Ошибка округления в финансовых отчетах,Сбой приложения,Средний
Дрожание изображения на мониторах,Ухудшение сервиса,Низкий
Сбой модуля расчета зарплаты,Сбой приложения,Высокий
Повреждение материнской платы статическим электричеством,Аппаратный сбой,Средний
Утечка переговоров через подслушивающее устройство,Нарушение безопасности,Высокий
Задержка синхронизации кэша и основной БД,Ухудшение сервиса,Средний
Сбой системы напоминаний о встречах,Сбой приложения,Низкий
Обрыв оптоволокна из-за строительных работ,Потеря связи,Высокий
Сбой системы управления лабораторным оборудованием,Сбой приложения,Высокий
Поломка системы вентиляции в серверной,Аппаратный сбой,Средний
Компрометация сессионных файлов на корпоративном портале,Нарушение безопасности,Высокий
Медленная работа графического редактора,Ухудшение сервиса,Низкий
Не работает автозаполнение в CRM,Сбой приложения,Низкий
Короткое замыкание в патч-панели,Аппаратный сбой,Средний
Рассылка спама с корпоративных email-ящиков,Нарушение безопасности,Средний
Сильный джиттер в голосовой связи,Ухудшение сервиса,Средний
Сбой системы управления аттестациями,Сбой приложения,Средний
Выход из строя датчика температуры в серверной стойке,Аппаратный сбой,Средний
Фейковые аккаунты в корпоративном мессенджере,Нарушение безопасности,Низкий
Сбой в обновлении интерактивной карты на сайте,Сбой приложения,Низкий
Разрыв спутниковой связи с удаленным объектом,Потеря связи,Средний
Сбой системы управления испытаниями,Сбой приложения,Высокий
Выход из строя платы расширения сервера,Аппаратный сбой,Средний
Кибератака на систему умного здания,Нарушение безопасности,Средний
Долгая буферизация видео в системе обучения,Ухудшение сервиса,Низкий
Сбой системы голосования на портале,Сбой приложения,Низкий
Перегрузка стабилизатора напряжения,Аппаратный сбой,Средний
Утечка метаданных из документов для клиентов,Нарушение безопасности,Средний
Сбой системы управления сертификатами,Сбой приложения,Средний
Ошибочное изменение сетевых маршрутов,Ухудшение сервиса,Высокий
Проблемы с загрузкой шрифтов в редакторе,Сбой приложения,Низкий
Поломка системы контроля протечек воды в ЦОД,Аппаратный сбой,Высокий
Обнаружение нелицензионного ПО на сервере,Нарушение безопасности,Средний
Зависание системы при высокой нагрузке,Ухудшение сервиса,Высокий
Сбой системы учета инвентаря,Сбой приложения,Средний
Отказ резервного генератора при проверке,Аппаратный сбой,Высокий
Фишинговая атака на отдел разработки,Нарушение безопасности,Высокий
Сбой системы преобразования текста в речь,Сбой приложения,Низкий
Потеря пакетов при передаче данных в реальном времени,Ухудшение сервиса,Средний
Сбой системы управления проектной документацией,Сбой приложения,Высокий
Поломка резервного 4G-модема,Аппаратный сбой,Средний
Несанкционированное изменение конфигурации ВМ,Нарушение безопасности,Средний
Не обновляется статус задач в системе управления проектами,Ухудшение сервиса,Низкий
Сбой системы проверки на плагиат,Сбой приложения,Низкий
Перехват сигнала беспроводной клавиатуры,Нарушение безопасности,Средний
Задержка данных с IoT-датчиков,Ухудшение сервиса,Средний
Сбой системы управления арендой,Сбой приложения,Средний
Поломка системы звукового оповещения,Аппаратный сбой,Средний
Утечка бизнес-логики через публичный репозиторий,Нарушение безопасности,Высокий
Сбой системы управления отзывами,Сбой приложения,Низкий
Зависание ПК при подключении к VPN,Ухудшение сервиса,Средний
Сбой системы управления логистикой,Сбой приложения,Высокий
Поломка системы мониторинга энергопотребления,Аппаратный сбой,Низкий
Атака с использованием фишинговой копии сервиса авторизации,Нарушение безопасности,Высокий
Сбой системы расчета рейтингов сотрудников,Сбой приложения,Средний
Обрыв связи с системой управления складскими роботами,Потеря связи,Высокий
Сбой системы управления франшизой,Сбой приложения,Высокий
Выход из строя ИБП для системы хранения,Аппаратный сбой,Высокий
Утечка данных о внутреннем тестировании продукта,Нарушение безопасности,Средний
Сбой системы управления корпоративными событиями,Сбой приложения,Низкий
Задержка обновления информации на информационных табло,Ухудшение сервиса,Низкий
Сбой системы управления политиками доступа,Сбой приложения,Высокий
Поломка системы очистки воздуха в серверной,Аппаратный сбой,Средний
Обнаружение бэкдора в прошивке сетевого устройства,Нарушение безопасности,Высокий
Сбой системы управления корпоративными стандартами,Сбой приложения,Низкий
Случайное удаление раздела на файловом сервере,Ухудшение сервиса,Высокий
Проблемы с загрузкой превью документов,Сбой приложения,Низкий
Поломка системы резервного копирования на ленты,Аппаратный сбой,Средний
Компрометация корпоративного аккаунта в LinkedIn,Нарушение безопасности,Средний
Сбой системы управления идеями,Сбой приложения,Низкий
Разрыв связи с системой управления цифровыми вывесками,Потеря связи,Средний
Сбой системы управления безопасностью полетов,Сбой приложения,Высокий
Выход из строя системы вакуумного охлаждения,Аппаратный сбой,Высокий
Утечка данных о стратегических планах компании,Нарушение безопасности,Высокий
Сбой корпоративной социальной сети,Сбой приложения,Низкий
Зависание системы при обработке больших файлов,Ухудшение сервиса,Средний
Сбой платформы контроля дистрибьюторской сети,Сбой приложения,Высокий
Поломка системы мониторинга уровня шума,Аппаратный сбой,Низкий
Кибератака на платформу управления медицинскими данными,Нарушение безопасности,Высокий
Сбой в системе учета отпусков,Сбой приложения,Средний
Разрыв связи с системой управления транспортом,Потеря связи,Высокий
Сбой системы контроля выставочных стендов,Сбой приложения,Средний
Выход из строя системы жидкостного охлаждения,Аппаратный сбой,Высокий
Несанкционированный доступ к системе корпоративных праздников,Нарушение безопасности,Низкий
Сбой системы управления библиотекой,Сбой приложения,Низкий
Задержки в обмене данными в ERP-системе,Ухудшение сервиса,Высокий
Сбой платформы управления рекламными площадями,Сбой приложения,Средний
Поломка биометрической системы доступа,Аппаратный сбой,Средний
Утечка данных о производительности сотрудников,Нарушение безопасности,Средний
Сбой системы работы со стейкхолдерами,Сбой приложения,Низкий
Случайное шифрование файлов легитимным ПО,Ухудшение сервиса,Средний
Проблемы с загрузкой иконок в кастомном ПО,Сбой приложения,Низкий
Поломка системы мониторинга температуры ЦП,Аппаратный сбой,Средний
Фишинг с использованием глубокого фейка голоса,Нарушение безопасности,Высокий
Сбой платформы управления инновациями,Сбой приложения,Низкий
Разрыв связи с системой контроля качества воды,Потеря связи,Высокий
Сбой системы управления телеком-оборудованием,Сбой приложения,Высокий
Выход из строя системы аварийного отключения питания,Аппаратный сбой,Высокий
Утечка клиентских данных через мобильное приложение,Нарушение безопасности,Высокий
Сбой системы корпоративной этики,Сбой приложения,Низкий
Зависание при одновременном доступе к документу,Ухудшение сервиса,Средний
Сбой сканера на рабочем месте,Сбой приложения,Низкий
Обнаружение ботнета на группе рабочих станций,Нарушение безопасности,Высокий
Проблемы синхронизации данных между офисами,Сбой приложения,Средний
Постоянные помехи в VoIP-связи,Ухудшение сервиса,Средний
Сбой системы заказов,Сбой приложения,Высокий
Выход из строя вентиляции в серверной стойке,Аппаратный сбой,Высокий
Утечка данных платежных карт,Нарушение безопасности,Высокий
Задержки в обработке банковских транзакций,Ухудшение сервиса,Высокий
Сбой системы электронной очереди,Сбой приложения,Средний
Обрыв кабеля между зданиями,Потеря связи,Средний
Сбой системы бронирования отеля,Сбой приложения,Высокий
Выход из строя блока питания файлового сервера,Аппаратный сбой,Средний
Фишинговые ссылки на внутреннем портале,Нарушение безопасности,Средний
Зависание при создании сложного отчета,Ухудшение сервиса,Низкий
Сбой функции автодозвона в колл-центре,Сбой приложения,Средний
Затопление ЦОД из-за прорыва трубы,Аппаратный сбой,Высокий
Компрометация SSH-ключей для критичных серверов,Нарушение безопасности,Высокий
Перегрузка канала из-за несанкционированных загрузок,Ухудшение сервиса,Средний
Не обновляется интерфейс управления ВМ,Сбой приложения,Средний
Разрыв связи со складом из-за грозы,Потеря связи,Средний